specimen,sample,site,NRM,PTRM,NRM_x,NRM_y,NRM_z,PTRM_x,PTRM_y,PTRM_z,NRM_sigma,PTRM_sigma,B_lab,steptype,temp_step,correction,s_tensor,aniso_type,NLT_beta
NA02-11Fc,NA02-11Fc,NA02-11F,1.3630000000000002e-08,2.0500854744937388e-07,-8.69939143004982e-09,-3.4940365332043324e-10,1.048691593528918e-08,2.9658761102419255e-09,-2.681813821763088e-09,-2.0496954891111577e-07,5.827051395035402e-11,8.823942831513624e-10,3e-05,P,843.0,1,,,
NA02-11Fd,NA02-11Fd,NA02-11F,2.307e-07,0.0,-2.1255773349688432e-07,6.620436162210748e-08,6.048704351244748e-08,0.0,0.0,0.0,2.4657020484861835e-09,0.0,3e-05,ZI,273.0,1,,,
NA02-11Fd,NA02-11Fd,NA02-11F,2.252e-07,2.9413745237705833e-09,-2.0959869265061296e-07,5.4987187655170176e-08,6.131751163353735e-08,6.940330083846541e-10,-9.607692178076666e-10,-2.692011289440001e-09,9.62767405841506e-10,1.3567305461636586e-09,3e-05,ZI,373.0,1,,,
NA02-11Fd,NA02-11Fd,NA02-11F,2.036e-07,8.424271437542913e-09,-1.8996076590481892e-07,5.054465168593029e-08,5.30387179596432e-08,-3.4515426947391804e-09,-3.0380321968097732e-09,-7.058722451757195e-09,8.704238180698517e-10,1.2333859386565502e-09,3e-05,IZ,473.0,1,,,
NA02-11Fd,NA02-11Fd,NA02-11F,1.565e-07,2.5601147203792563e-08,-1.4591365771392118e-07,3.69218315830676e-08,4.287461772536568e-08,1.2392181464323812e-08,6.093627526221505e-10,-2.2393777120915575e-08,6.690634947344391e-10,8.982762889377193e-10,3e-05,ZI,573.0,1,,,
NA02-11Fd,NA02-11Fd,NA02-11F,1.202e-07,1.8034972521598995e-08,-1.1315005595269122e-07,3.2873130094975833e-08,2.3758412313570964e-08,-3.0526190545606283e-09,-1.9539889489677202e-09,-1.7667022328334682e-08,5.138749652848535e-10,7.273337963462353e-10,3e-05,IZ,623.0,1,,,
NA02-11Fd,NA02-11Fd,NA02-11F,1.131e-07,2.7695323074168403e-08,-1.0603814072921877e-07,2.8809925199880615e-08,2.6786394320021474e-08,2.331323574364642e-09,-3.7206056547332324e-09,-2.7345071660833943e-08,4.835212859710227e-10,6.647367772046328e-10,3e-05,ZI,673.0,1,,,
NA02-11Fd,NA02-11Fd,NA02-11F,1.0130000000000001e-07,3.127232138229092e-08,-9.689857273066202e-08,2.4699136477348996e-08,1.6195964313182875e-08,-2.6255676325664656e-09,-2.270402778351296e-09,-3.107908863638321e-08,4.330743259846561e-10,6.179249421405515e-10,3e-05,IZ,703.0,1,,,
NA02-11Fd,NA02-11Fd,NA02-11F,9.611e-08,5.8914294189204564e-08,-9.077263503507376e-08,2.432245425249307e-08,2.0146440080686316e-08,3.1188469939758873e-09,-5.850903929361933e-09,-5.854001858942041e-08,4.1088621392285586e-10,5.851761357860682e-10,3e-05,ZI,733.0,1,,,
NA02-11Fd,NA02-11Fd,NA02-11F,6.967e-08,7.110195882010311e-08,-6.782342235362976e-08,1.5783004784231954e-08,2.188387584973198e-09,-4.669936392673676e-09,2.8838592688338414e-10,-7.094784757623868e-08,2.978508222245902e-10,5.252602916287198e-10,3e-05,IZ,763.0,1,,,
NA02-11Fd,NA02-11Fd,NA02-11F,5.537000000000001e-08,9.815643624411424e-08,-5.287533905461732e-08,1.4564294870067831e-08,7.610304514076812e-09,9.793930406911024e-09,-2.6976978858865485e-09,-9.762933641813781e-08,2.3671594698687477e-10,4.90547821532147e-10,3e-05,ZI,783.0,1,,,
NA02-11Fd,NA02-11Fd,NA02-11F,3.691e-08,1.0091577967957471e-07,-3.319350807769409e-08,1.395326597767302e-08,-8.114523402663231e-09,-2.9609212147772116e-09,-7.0564397347444445e-09,-1.0062521648258088e-07,1.5779638077091467e-10,5.155323533866221e-10,3e-05,IZ,803.0,1,,,
NA02-11Fd,NA02-11Fd,NA02-11F,2.629e-08,1.1200767295585911e-07,-2.518566702515463e-08,7.508173433603576e-09,-6.881919710139852e-10,-2.699712521586691e-10,-1.2085398439628237e-09,-1.1200082744317229e-07,1.1239411678318468e-10,5.072454239473301e-10,3e-05,ZI,818.0,1,,,
NA02-11Fd,NA02-11Fd,NA02-11F,1.6080000000000002e-08,1.3361573430906693e-07,-1.3099189364907152e-08,5.372369086246773e-09,-7.623338401477631e-09,-6.946693708973219e-09,-2.0178387113224943e-09,-1.334197745028823e-07,6.874467089667591e-11,6.130775469786211e-10,3e-05,IZ,833.0,1,,,
NA02-11Fd,NA02-11Fd,NA02-11F,8.736e-09,1.557638992279849e-07,-8.027755349298976e-09,2.732870840110419e-09,-2.098632179081376e-09,3.2325444831237903e-09,-1.4659214793380636e-09,-1.5572345370266764e-07,3.734785105431348e-11,6.760810943771724e-10,3e-05,ZI,843.0,1,,,
NA02-11Fd,NA02-11Fd,NA02-11F,9.378e-09,1.7031784854818493e-07,-6.123640950963012e-09,1.4250158879043272e-09,-6.9582494366693296e-09,-6.860970773325229e-10,-1.3655882044434621e-09,-1.7031099193457485e-07,4.0092507690859865e-11,7.594734437546496e-10,3e-05,IZ,853.0,1,,,
NA02-11Fd,NA02-11Fd,NA02-11F,4.25e-09,1.6074467714286944e-07,-1.9792104327872594e-09,1.9406327967705422e-10,-3.756003927876947e-09,7.342095211787825e-10,-2.7809840956950966e-09,-1.607189419253494e-07,1.8169455927293073e-11,7.034994962014477e-10,3e-05,ZI,873.0,1,,,
NA02-11Fd,NA02-11Fd,NA02-11F,2.252e-07,4.699195331635045e-09,-2.0959869265061296e-07,5.4987187655170176e-08,6.131751163353735e-08,5.941771964280973e-10,6.603414282193067e-10,-4.614470654612805e-09,9.62767405841506e-10,1.6555580724339394e-09,3e-05,P,373.0,1,,,
NA02-11Fd,NA02-11Fd,NA02-11F,1.565e-07,1.7516764580555788e-08,-1.4591365771392118e-07,3.69218315830676e-08,4.287461772536568e-08,-5.943382524331357e-10,-2.223462177167898e-09,-1.7364907697969843e-08,6.690634947344391e-10,9.431016417790242e-10,3e-05,P,573.0,1,,,
